 

stn;time;prestas0
ATT;202406080120;735.6
ATT;202406080130;735.5
ATT;202406080140;735.5
ATT;202406080150;735.4
ATT;202406080200;735.4
ATT;202406080210;735.3
ATT;202406080220;735.3
ATT;202406080230;735.2
ATT;202406080240;735.2
ATT;202406080250;735.2
ATT;202406080300;735.2
ATT;202406080310;735.2
ATT;202406080320;735.2
ATT;202406080330;735.1
ATT;202406080340;735.2
ATT;202406080350;735.2
ATT;202406080400;735.2
ATT;202406080410;735.2
ATT;202406080420;735.2
ATT;202406080430;735.2
ATT;202406080440;735.2
ATT;202406080450;735.1
ATT;202406080500;735.0
ATT;202406080510;735.0
ATT;202406080520;734.9
ATT;202406080530;734.9
ATT;202406080540;734.9
ATT;202406080550;734.8
ATT;202406080600;734.8
ATT;202406080610;734.8
ATT;202406080620;734.9
ATT;202406080630;734.9
ATT;202406080640;734.9
ATT;202406080650;734.9
ATT;202406080700;735.0
ATT;202406080710;735.0
ATT;202406080720;735.0
ATT;202406080730;734.9
ATT;202406080740;734.9
ATT;202406080750;734.9
ATT;202406080800;734.8
ATT;202406080810;734.8
ATT;202406080820;734.8
ATT;202406080830;734.8
ATT;202406080840;734.8
ATT;202406080850;734.9
ATT;202406080900;734.9
ATT;202406080910;734.8
ATT;202406080920;734.8
ATT;202406080930;734.7
ATT;202406080940;734.6
ATT;202406080950;734.6
ATT;202406081000;734.5
ATT;202406081010;734.5
ATT;202406081020;734.5
ATT;202406081030;734.3
